INFO 2025-04-05 00:18:05,741 autoreload 10932 2000 Watching for file changes with StatReloader
DEBUG 2025-04-05 00:18:05,747 autoreload 10932 2000 Waiting for apps ready_event.
DEBUG 2025-04-05 00:18:06,955 autoreload 10932 2000 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-04-05 00:18:06,972 autoreload 10932 2000 Watching dir F:\gestion_reclammation\gestion_reclamations\templates with glob **/*.
DEBUG 2025-04-05 00:18:06,999 autoreload 10932 2000 Watching dir C:\Users\HADIL\AppData\Local\Programs\Python\Python39\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-04-05 00:18:07,057 autoreload 10932 2000 Watching dir F:\gestion_reclammation\gestion_reclamations\locale with glob **/*.mo.
DEBUG 2025-04-05 00:18:07,133 autoreload 10932 2000 Watching dir C:\Users\HADIL\AppData\Local\Programs\Python\Python39\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-04-05 00:18:07,149 autoreload 10932 2000 Watching dir F:\gestion_reclammation\gestion_reclamations\users\locale with glob **/*.mo.
DEBUG 2025-04-05 00:18:07,195 autoreload 10932 2000 Watching dir F:\gestion_reclammation\gestion_reclamations\reclamations\locale with glob **/*.mo.
DEBUG 2025-04-05 00:18:07,226 autoreload 10932 2000 Watching dir F:\gestion_reclammation\gestion_reclamations\PasswordResetToken\locale with glob **/*.mo.
DEBUG 2025-04-05 00:18:07,247 autoreload 10932 2000 Watching dir F:\gestion_reclammation\gestion_reclamations\gestion\locale with glob **/*.mo.
DEBUG 2025-04-05 00:18:07,249 autoreload 10932 2000 Watching dir F:\gestion_reclammation\gestion_reclamations\Intervention\locale with glob **/*.mo.
DEBUG 2025-04-05 00:18:07,761 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\_collections_abc.py first seen with mtime 1601909202.0
DEBUG 2025-04-05 00:18:07,762 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\rest_framework_simplejwt\token_blacklist\__init__.py first seen with mtime 1741138765.5584698
DEBUG 2025-04-05 00:18:07,763 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\logging\config.py first seen with mtime 1601909202.0
DEBUG 2025-04-05 00:18:07,764 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\contrib\postgres\lookups.py first seen with mtime 1741126699.204646
DEBUG 2025-04-05 00:18:07,765 autoreload 10932 2000 File F:\gestion_reclammation\gestion_reclamations\gestion\__init__.py first seen with mtime 1743090538.7651012
DEBUG 2025-04-05 00:18:07,766 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\unittest\loader.py first seen with mtime 1601909202.0
DEBUG 2025-04-05 00:18:07,768 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\chardet\cp949prober.py first seen with mtime 1738358064.0809667
DEBUG 2025-04-05 00:18:07,769 autoreload 10932 2000 File F:\gestion_reclammation\gestion_reclamations\PasswordResetToken\apps.py first seen with mtime 1742991306.4868348
DEBUG 2025-04-05 00:18:07,770 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\chardet\langbulgarianmodel.py first seen with mtime 1738358064.1179695
DEBUG 2025-04-05 00:18:07,772 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1741126701.3166018
DEBUG 2025-04-05 00:18:07,775 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1741126701.6714075
DEBUG 2025-04-05 00:18:07,776 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1741126701.0573618
DEBUG 2025-04-05 00:18:07,778 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\psycopg2\_range.py first seen with mtime 1741137758.6337013
DEBUG 2025-04-05 00:18:07,780 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1741126701.072791
